Author_Name,SS_Author_ID,GitHub_Username,Paper_Title,Repo_URL
Lingxiao Meng,152674881,lingxiaomeng,Virtual Reality Based Robot Teleoperation via Human-Scene Interaction,https://github.com/lingxiaomeng/VR_Teleoperation_Gen3
Mihaela Gaman,15344643,MihaelaGaman,SaRoCo: Detecting Satire in a Novel Romanian Corpus of News Articles,https://github.com/MihaelaGaman/SaRoCo
Mihaela Gaman,15344643,MihaelaGaman,A Report on the VarDial Evaluation Campaign 2020,https://github.com/butnaruandrei/MOROCO;https://github.com/raduionescu/MOROCO-Tweets
Mihaela Gaman,15344643,MihaelaGaman,FreCDo: A Large Corpus for French Cross-Domain Dialect Identification,https://github.com/MihaelaGaman/FreCDo
Xenia Baturina,2296480706,Turukmokto,Mutation Management for Evolutionary Small-Moves Approach in Pickup and Delivery Problem,https://github.com/xeniabaturina/pdp_python
Pauloro Costa,145420906,paulorocosta,The first AI4TSP competition: Learning to solve stochastic routing problems,https://github.com/paulorocosta/ai-for-tsp-competition
Pauloro Costa,145420906,paulorocosta,Learning 2-opt Heuristics for the Traveling Salesman Problem via Deep Reinforcement Learning,https://github.com/paulorocosta/learning-2opt-drl
Pauloro Costa,145420906,paulorocosta,A Genetic Algorithm for a Green Vehicle Routing Problem,https://github.com/paulorocosta/genetic-algorithm-GVRP
Ye Hong,1677574822,hongyeehh,Trackintel: An open-source Python library for human mobility analysis,https://github.com/mie-lab/trackintel
Ye Hong,1677574822,hongyeehh,Context-aware multi-head self-attentional neural network model for next location prediction,https://github.com/mie-lab/location-prediction
Ye Hong,1677574822,hongyeehh,How do you go where? Improving next location prediction by learning travel mode information using transformers,https://github.com/mie-lab/location-mode-prediction
Ye Hong,1677574822,hongyeehh,Traffic4cast-Traffic Map Movie Forecasting - Team MIE-Lab,https://github.com/hongyeehh/traffic4cast2020
Ye Hong,1677574822,hongyeehh,Predicting visit frequencies to new places,https://github.com/mie-lab/predict-visits
Ye Hong,1677574822,hongyeehh,A Clustering-Based Framework for Individual Travel Behaviour Change Detection,https://github.com/mie-lab/change-detection
Ye Hong,1677574822,hongyeehh,Evaluating geospatial context information for travel mode detection,https://github.com/mie-lab/mode_detect
Henry Martin,2053800378,henrymartin1,Influence of tracking duration on the privacy of individual mobility graphs,https://github.com/mie-lab/topology_privacy
Henry Martin,2053800378,henrymartin1,Trackintel: An open-source Python library for human mobility analysis,https://github.com/mie-lab/trackintel
Nina Wiedemann,9608938,NinaWie,Influence of tracking duration on the privacy of individual mobility graphs,https://github.com/mie-lab/topology_privacy
Nina Wiedemann,9608938,NinaWie,Unlocking social network analysis methods for studying human mobility,https://github.com/NinaWie/network_analysis
Nina Wiedemann,9608938,NinaWie,Trackintel: An open-source Python library for human mobility analysis,https://github.com/mie-lab/trackintel
Nina Wiedemann,9608938,NinaWie,ACCELERATING COVID-19 DIFFERENTIAL DIAGNOSISWITH EXPLAINABLE ULTRASOUND IMAGE ANALYSIS: AN AI TOOL,https://github.com/jannisborn/covid19_ultrasound
Praveen Kashyap,2379498591,Praveen-Kashyap,WATcycle: A software for terrestrial water cycle and budget analysis with case studies on the Amazon and Mississippi Basins,https://github.com/ronikianji/WATcycle
Roniki Anjaneyulu,2209286980,ronikianji,WATcycle: A software for terrestrial water cycle and budget analysis with case studies on the Amazon and Mississippi Basins,https://github.com/ronikianji/WATcycle
Nathan Shauer,2292623262,nathanshauer,DFNMesh: Finite element meshing for discrete fracture matrix models,https://github.com/labmec/DFNMesh
Nathan Shauer,2292623262,nathanshauer,Less than 500 lines self-contained Python finite element implementation of the phase-field method for fracture mechanics,https://github.com/nathanshauer/phasefield-jr-py
José B. Villegas,2249397379,jbvilleg,DFNMesh: Finite element meshing for discrete fracture matrix models,https://github.com/labmec/DFNMesh
Indrajeet Sahu,2348034223,sahu-indrajeet,Bilinear-inverse-mapper: Analytical solution and algorithm for inverse mapping of bilinear interpolation of quadrilaterals,https://github.com/sahu-indrajeet/Bilinear-Inverse-Mapper
Linda Christoffersen,2230512898,lindchr,ICE2WSS; An R package for estimating river water surface slopes from ICESat-2,https://github.com/lindchr/ICE2WSS
Supath Dhital,2221148453,supathdhitalGEO,A framework for the evaluation of flood inundation predictions over extensive benchmark databases,https://github.com/sdmlua/fimeval
Supath Dhital,2221148453,supathdhitalGEO,FIMserv v.1.0: A tool for streamlining Flood Inundation Mapping (FIM) using the United States operational hydrological forecasting framework,https://github.com/sdmlua/FIMserv
